Datetime,Date,Dummy,Hour,Day-ahead Price [GBP/MWh],Demand Forecast [MWh],Wind Forecast [MW],Solar Forecast [MW],Last Closing Gas Price [GBpence/therm]
2023-08-17 16:00:00+00:00,17/08/2023,4,16,97.58,23583.5,6870.5,1580.77181,142.16
2023-08-17 17:00:00+00:00,17/08/2023,4,17,104.23,24730.0,7174.5,733.25254,142.16
2023-08-17 18:00:00+00:00,17/08/2023,4,18,103.25,26505.5,7681.0,225.6344426,142.16
2023-08-17 19:00:00+00:00,17/08/2023,4,19,96.175,27270.5,8190.0,22.99015203,142.16
2023-08-17 20:00:00+00:00,17/08/2023,4,20,86.64,26899.0,8646.5,0.0,142.16
2023-08-17 21:00:00+00:00,17/08/2023,4,21,84.16,26775.0,8953.0,0.0,142.16
2023-08-17 22:00:00+00:00,17/08/2023,4,22,81.625,26344.5,8765.0,0.0,142.16
2023-08-17 23:00:00+00:00,17/08/2023,4,23,75.095,24056.5,9346.0,0.0,142.16
2023-08-18 00:00:00+00:00,17/08/2023,4,24,72.305,21422.0,9942.0,0.0,142.16
2023-08-18 01:00:00+00:00,18/08/2023,5,1,68.885,19366.5,9685.5,0.0,141.15
2023-08-18 02:00:00+00:00,18/08/2023,5,2,67.4,18448.5,9464.0,0.0,141.15
2023-08-18 03:00:00+00:00,18/08/2023,5,3,70.74,17938.0,9316.0,0.0,141.15
2023-08-18 04:00:00+00:00,18/08/2023,5,4,78.845,17635.0,9303.0,0.0,141.15
2023-08-18 05:00:00+00:00,18/08/2023,5,5,89.34,17383.0,9374.0,4.8183345,141.15
2023-08-18 06:00:00+00:00,18/08/2023,5,6,94.02,18018.0,9394.5,118.281387,141.15
2023-08-18 07:00:00+00:00,18/08/2023,5,7,90.605,20674.0,9636.5,322.498132,141.15
2023-08-18 08:00:00+00:00,18/08/2023,5,8,84.385,23680.0,9905.0,474.827271,141.15
2023-08-18 09:00:00+00:00,18/08/2023,5,9,79.01,25751.5,9947.0,508.574629,141.15
2023-08-18 10:00:00+00:00,18/08/2023,5,10,74.995,26847.5,9629.0,644.643611,141.15
2023-08-18 11:00:00+00:00,18/08/2023,5,11,71.79,26781.5,9457.0,904.142989,141.15
2023-08-18 12:00:00+00:00,18/08/2023,5,12,71.21,27073.0,9360.5,1323.05551,141.15
2023-08-18 13:00:00+00:00,18/08/2023,5,13,74.02,26926.5,9504.5,1422.568016,141.15
2023-08-18 14:00:00+00:00,18/08/2023,5,14,78.845,26842.0,9709.5,1797.935316,141.15
2023-08-18 15:00:00+00:00,18/08/2023,5,15,86.93,25807.0,9780.0,1809.052695,141.15
2023-08-18 16:00:00+00:00,18/08/2023,5,16,97.215,25318.5,8797.0,1372.369667,141.15
2023-08-18 17:00:00+00:00,18/08/2023,5,17,102.835,25627.0,8992.0,616.972215,141.15
2023-08-18 18:00:00+00:00,18/08/2023,5,18,100.72,27143.5,9462.5,212.1996095,141.15
2023-08-18 19:00:00+00:00,18/08/2023,5,19,93.4,27075.5,10144.0,16.07036374,141.15
2023-08-18 20:00:00+00:00,18/08/2023,5,20,82.7,26825.0,10849.5,0.0,141.15
2023-08-18 21:00:00+00:00,18/08/2023,5,21,72.67,26376.5,11525.0,0.0,141.15
2023-08-18 22:00:00+00:00,18/08/2023,5,22,62.185,24786.0,12134.5,0.0,141.15
2023-08-18 23:00:00+00:00,18/08/2023,5,23,53.005,22762.0,13463.5,0.0,141.15
2023-08-19 00:00:00+00:00,18/08/2023,5,24,44.015,20343.5,14546.5,0.0,141.15
2023-08-19 01:00:00+00:00,19/08/2023,6,1,34.74,19358.0,14617.0,0.0,143.38
2023-08-19 02:00:00+00:00,19/08/2023,6,2,32.53,18092.5,14628.0,0.0,143.38
2023-08-19 03:00:00+00:00,19/08/2023,6,3,36.105,17159.5,14334.5,0.0,143.38
2023-08-19 04:00:00+00:00,19/08/2023,6,4,46.145,16775.0,14117.5,0.0,143.38
2023-08-19 05:00:00+00:00,19/08/2023,6,5,55.86,16426.0,14083.5,10.3703373,143.38
2023-08-19 06:00:00+00:00,19/08/2023,6,6,58.455,16421.0,14198.0,130.725727,143.38
2023-08-19 07:00:00+00:00,19/08/2023,6,7,54.775,17587.5,14398.5,543.355584,143.38
2023-08-19 08:00:00+00:00,19/08/2023,6,8,43.23,19043.5,14555.0,1298.7016,143.38
2023-08-19 09:00:00+00:00,19/08/2023,6,9,30.265,20306.5,14688.5,1926.883172,143.38
2023-08-19 10:00:00+00:00,19/08/2023,6,10,20.7,20385.0,14863.0,2305.292234,143.38
2023-08-19 11:00:00+00:00,19/08/2023,6,11,15.365,19956.0,14978.5,2654.9266,143.38
2023-08-19 12:00:00+00:00,19/08/2023,6,12,15.965,19186.0,15058.0,2685.90857,143.38
2023-08-19 13:00:00+00:00,19/08/2023,6,13,24.785,19004.0,15122.5,2656.02518,143.38
2023-08-19 14:00:00+00:00,19/08/2023,6,14,46.835,18382.5,15202.0,2368.89788,143.38
2023-08-19 15:00:00+00:00,19/08/2023,6,15,66.185,17599.5,15182.0,2098.89661,143.38
2023-08-19 16:00:00+00:00,19/08/2023,6,16,78.36,17606.5,14779.0,1499.043254,143.38
2023-08-19 17:00:00+00:00,19/08/2023,6,17,89.91,18575.0,14417.0,720.969067,143.38
2023-08-19 18:00:00+00:00,19/08/2023,6,18,95.965,20982.0,14035.5,209.8649487,143.38
2023-08-19 19:00:00+00:00,19/08/2023,6,19,98.005,22639.0,13664.5,20.67143995,143.38
2023-08-19 20:00:00+00:00,19/08/2023,6,20,94.26,23321.5,13265.0,0.0,143.38
2023-08-19 21:00:00+00:00,19/08/2023,6,21,92.855,23145.0,12831.5,0.0,143.38
2023-08-19 22:00:00+00:00,19/08/2023,6,22,92.555,22951.0,12366.0,0.0,143.38
2023-08-19 23:00:00+00:00,19/08/2023,6,23,86.545,21482.0,11657.5,0.0,143.38
2023-08-20 00:00:00+00:00,19/08/2023,6,24,81.925,19332.5,10709.5,0.0,143.38
2023-08-20 01:00:00+00:00,20/08/2023,7,1,79.365,18752.5,9905.0,0.0,143.38
2023-08-20 02:00:00+00:00,20/08/2023,7,2,79.745,17947.0,9012.5,0.0,143.38
2023-08-20 03:00:00+00:00,20/08/2023,7,3,82.145,17377.0,8310.0,0.0,143.38
2023-08-20 04:00:00+00:00,20/08/2023,7,4,83.9,16947.5,7924.5,0.0,143.38
2023-08-20 05:00:00+00:00,20/08/2023,7,5,84.575,16705.5,7632.5,18.5915665,143.38
2023-08-20 06:00:00+00:00,20/08/2023,7,6,79.43,16963.5,7588.0,220.5294116,143.38
2023-08-20 07:00:00+00:00,20/08/2023,7,7,74.49,17312.0,7727.0,512.781245,143.38
