Feature,H1 - Coefficient - 1,H2 - Coefficient - 1,H3 - Coefficient - 1,H4 - Coefficient - 1,H5 - Coefficient - 1,H6 - Coefficient - 1,H7 - Coefficient - 1,H8 - Coefficient - 1,H9 - Coefficient - 1,H10 - Coefficient - 1,H11 - Coefficient - 1,H12 - Coefficient - 1,H13 - Coefficient - 1,H14 - Coefficient - 1,H15 - Coefficient - 1,H16 - Coefficient - 1,H17 - Coefficient - 1,H18 - Coefficient - 1,H19 - Coefficient - 1,H20 - Coefficient - 1,H21 - Coefficient - 1,H22 - Coefficient - 1,H23 - Coefficient - 1,H24 - Coefficient - 1
Day-ahead Price [GBP/MWh]_standardized d-2 h=10,0.0,0.0,0.008515668966254615,0.08325174963751548,0.18380276255523373,0.21713514777803852,0.27329724640073333,0.46545264351362603,0.5948410999586617,0.6468106878755419,0.6849561626581914,0.6539840053142671,0.701331823975403,0.7447870634958618,0.6156678374847674,0.5747255848834028,0.6906694811145316,0.22336281347815704,0.0,0.05730986701244304,0.18373457007848093,0.25602302138001304,0.28342574043229946,0.17227348181772723
Day-ahead Price [GBP/MWh]_standardized d-2 h=11,-0.0,-0.0,0.0,0.08692440830029716,0.10654099599447195,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.03332789199550559,-0.0,0.0,0.0,-0.1102110123703828,-0.06829734038719537,-0.0,0.0,0.0,-0.0,-0.0
Day-ahead Price [GBP/MWh]_standardized d-2 h=12,0.0,0.0,0.0051325298818731754,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.06481909339608057,0.06701089163362198,0.040841671557160106,0.0,0.0,0.0,0.09731613522592805,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.08400969609902231,-0.10047546818970607
Day-ahead Price [GBP/MWh]_standardized d-2 h=13,0.0006205194919549017,0.008543608899356053,0.0,-0.0,-0.0,-0.018672849326353807,0.0,0.0,0.02778130396538303,0.03083404266045888,0.03254264936438864,0.1199936612675805,0.12533279714442885,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.06712944017261924,-0.23703638985515113,-0.15964669713086305,-0.0
Day-ahead Price [GBP/MWh]_standardized d-2 h=14,0.0,0.0,-0.0,-0.11099823617178708,-0.1943087139016456,-0.01042000705306368,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.07734345042251806,0.07048996918163222,-0.0,0.0,-0.0,-0.05619160665287292,-0.036783084648363995,-0.00860756466049782,-0.08644134043502456
Day-ahead Price [GBP/MWh]_standardized d-2 h=15,0.0,0.0,-0.0,-0.0,-0.0,-0.16535711100093226,-0.14606642524428837,-0.24168346717448733,-0.29103650933686664,-0.311149734203518,-0.27315902228680944,-0.32165269126708773,-0.2587169043237851,-0.10666304215307604,-0.13791894929361234,-0.2664339447949466,-0.3047017202182264,-0.06923545859805502,0.0,0.0,0.0,0.0,-0.0,-0.0
Day-ahead Price [GBP/MWh]_standardized d-2 h=16,0.0,0.0062060574077839915,0.005743304551533924,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0636843930763106,-0.0,0.0,0.0,-0.02196325921729536,-0.3228854076093123,-0.2528835085164463,-0.02487823049500253,0.0,-0.002648830251912433,0.0,0.06758910644349546,0.009374963245821127,0.005799232419290124
Day-ahead Price [GBP/MWh]_standardized d-2 h=17,0.0019117716762415725,0.0,0.015045186102202089,0.03101387674199896,0.1044730056575319,0.1455718915626682,0.11831610910346278,0.1419968557581019,0.18783517427250485,0.17168948510962603,0.2000243895327079,0.11566445792030192,0.07924848856513513,0.03726236526352947,-0.0,-0.0,-0.0,-0.0,0.0,-0.03502825442151051,-0.021313629841814775,-0.0791777970393676,-0.0,-0.0
Day-ahead Price [GBP/MWh]_standardized d-2 h=18,0.007239156016988318,0.0,0.0,0.04232178030589132,0.0,0.0,0.05388325710184711,0.1257456129813733,0.09937553644042293,0.10988946845659787,0.11938094287534352,0.1916727654218868,0.1846456592614981,0.1681812855796225,0.0830801780889827,-0.12416652048415192,-0.0,0.10531348300147335,0.00036743392628761585,0.0,0.0,-0.0,-0.0,-0.0
Day-ahead Price [GBP/MWh]_standardized d-2 h=19,0.0083938049734101,0.015327373218703628,0.0,0.0,-0.016774244242352944,-0.010063148664405726,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.2513437079332754,1.085460254793428,0.7891449160576443,0.12674541809522438,0.11324538254044032,0.08559557518379875,0.16856636983244994,0.28142172708643476,0.20562346990819141,0.25081858861985207
