Ytrue,Yp
154.86,235.63911
158.855,240.74574
173.36,258.96332
192.215,273.23703
192.1,262.9396
177.835,244.27505
158.78,212.83679
145.91,187.54819
136.89,157.81201
127.02,146.11093
124.885,140.59521
123.7,132.68079
117.225,69.50442
109.93,62.756844
114.33,67.229996
128.145,80.28358
140.405,123.31395
149.32,132.22318
161.465,150.38799
164.03,163.15157
154.79,170.23947
142.48,165.97745
132.1,156.92664
130.125,156.95973
133.2,168.66623
138.505,165.69879
147.115,183.55237
159.7,189.90797
162.885,178.56215
152.385,169.24818
139.46,153.04645
131.715,136.80666
125.25,119.863785
124.855,108.7996
127.905,110.470955
127.68,101.32875
124.465,129.38565
119.83,127.7757
121.5,132.37466
136.38,142.76949
157.52,189.82161
170.06,241.28493
177.395,279.49854
180.4,287.63046
176.79,285.70337
166.405,280.38153
153.08,274.47443
146.515,280.1054
147.56,292.66263
156.035,293.4276
173.48,320.56104
188.97,338.452
188.725,316.68924
177.355,310.68777
159.3,259.06326
147.24,221.64423
137.045,185.79561
130.805,173.54558
133.18,169.95154
131.81,162.60825
130.63,140.87729
129.295,138.87482
130.015,134.82228
139.345,150.6588
156.345,190.28983
177.48,241.7095
193.25,289.93073
193.88,280.708
184.525,283.38477
171.04,272.03345
160.98,269.91797
157.33,282.7944
162.38,301.64026
171.44,298.59497
184.785,311.1208
196.485,336.0576
195.72,326.43628
186.95,292.91736
169.34,252.86118
155.67,223.70393
148.785,193.47849
141.84,184.29921
138.005,177.40088
136.025,163.27705
133.025,131.89745
129.5,126.69388
128.765,117.29097
129.14,131.71733
133.02,161.76524
142.72,193.57558
153.37,217.63574
158.075,226.13861
154.625,237.70303
145.24,232.55295
135.89,232.80377
131.525,240.19916
132.34,243.52055
138.74,240.07759
153.425,264.55124
177.195,295.97998
184.165,283.06522
165.505,262.83197
150.215,223.23787
143.285,203.04909
135.485,176.73929
140.0,163.97672
148.15,152.15807
145.595,148.3187
140.925,135.27686
132.17,123.83746
123.95,130.49501
125.765,135.82993
132.395,156.37973
134.555,162.48021
137.015,187.39845
145.055,194.98997
157.28,212.09647
162.775,218.66205
168.01,212.50789
178.925,220.82764
178.8,232.65561
172.67,228.75256
185.78,239.1483
214.95,254.78783
223.445,281.8749
205.995,242.32967
185.04,199.67085
168.545,186.32022
156.8,175.24327
146.555,160.64648
141.35,154.70554
141.155,148.01393
138.63,136.58778
136.38,141.68216
136.09,137.56953
146.49,154.70932
178.96,199.6514
209.57,255.61534
221.22,286.37793
225.39,314.37268
222.13,312.17337
213.08,313.2128
205.6,315.51645
199.455,303.9766
195.085,316.15924
196.595,325.573
211.815,360.7717
240.385,383.8029
246.425,381.73883
226.125,331.85648
192.955,270.32495
165.855,233.17726
151.635,207.49518
141.655,184.72339
139.805,171.80505
137.57,167.53862
135.62,144.84608
134.315,141.13068
134.11,144.97597
142.84,149.22878
168.17,209.59326
199.305,268.12244
218.63,290.27853
219.49,326.9261
211.665,328.60303
200.53,297.38086
191.165,307.55426
187.985,304.97693
188.89,305.09332
195.175,297.00107
208.64,359.24442
220.105,369.36633
216.45,402.91382
203.075,322.44867
179.015,279.81104
158.76,224.60802
146.39,195.67644
136.37,183.74852
134.175,177.94563
131.865,178.10414
128.3,139.35236
125.595,131.17578
126.575,125.017654
131.76,133.30121
145.99,155.94861
165.41,171.79129
183.05,189.58473
189.21,204.24117
183.225,212.05142
174.715,207.65477
167.27,204.51617
163.82,209.03215
163.955,203.46985
165.735,207.15994
173.235,221.12254
182.63,231.13255
180.77,233.40796
169.88,219.46014
159.55,198.15692
152.775,186.25945
144.965,163.3794
131.895,153.81375
123.48,150.35791
123.03,144.86212
121.285,123.76971
118.39,121.82679
117.97,119.75643
125.155,135.89305
139.235,168.74884
156.89,204.34344
169.67,230.32234
172.055,257.7261
166.645,242.52565
156.985,243.47159
149.26,231.6897
147.23,237.10649
150.255,239.59561
152.78,233.2469
161.675,252.15913
174.485,266.55597
174.685,267.01205
167.295,249.0452
155.155,224.59344
139.345,202.57327
128.26,178.75436
127.245,160.80019
130.315,151.787
128.64,147.35564
124.63,133.43983
121.855,123.90803
122.35,132.82649
128.665,140.71124
146.185,179.19936
167.63,228.5377
182.12,254.52487
185.52,258.58118
182.635,264.08234
178.11,260.52365
171.71,254.42075
167.675,257.0046
166.92,259.85938
168.425,258.89908
175.625,281.63916
187.305,289.53836
189.335,279.08905
179.555,264.43857
164.905,240.01405
151.28,215.14586
139.955,189.01048
134.05,167.35544
131.915,156.62985
126.115,147.12746
121.115,145.85677
118.39,140.60397
116.645,143.37006
116.31,152.93965
122.42,187.03494
129.58,221.8239
139.01,245.1625
150.455,251.31998
152.955,253.27188
148.245,258.34766
141.3,243.65868
136.535,251.60332
135.77,253.38719
139.75,252.74564
152.185,280.82748
171.075,305.08636
178.175,277.67203
165.32,262.09473
147.585,231.15237
137.77,209.78784
133.835,188.94215
151.485,170.27377
