Ytrue,Yp
133.6,107.90555
104.7,101.91091
72.01,92.26975
42.525,89.308525
24.16,85.34296
19.235,83.37354
14.245,35.228863
9.53,34.21069
10.44,35.755775
32.5,46.218754
68.96,59.75632
109.525,83.538826
137.165,82.37425
139.69,75.66469
133.635,65.96476
128.0,59.885914
127.855,54.876396
132.28,59.199352
136.515,66.43409
135.975,69.44841
148.3,85.27904
165.865,109.463234
169.915,104.073784
162.25,83.0133
144.89,70.023674
116.365,61.282066
82.155,53.93654
46.77,50.577522
28.275,47.295986
28.665,45.199184
24.91,51.992268
23.18,46.048386
23.105,49.21286
35.815,55.780853
74.38,70.34766
121.64,85.74025
157.16,94.99582
170.64,82.82634
159.12,74.13687
139.675,66.88541
131.21,67.83028
128.335,70.09157
121.715,74.68186
111.925,81.74779
126.03,93.34491
157.415,113.622635
164.09,111.21053
159.95,96.75978
147.27,79.269806
104.6,74.084724
57.14,66.540115
28.645,64.54593
14.77,63.608894
8.885,58.831295
3.715,24.715097
0.07,25.323355
1.36,28.194983
22.355,38.062088
64.245,59.040092
102.58,77.57436
133.0,86.77255
150.655,77.68689
144.04,69.71913
133.81,65.19579
131.91,61.82766
127.65,67.36655
121.605,70.97302
121.625,83.27231
134.52,102.175125
160.26,120.69095
172.375,119.48239
168.91,107.589645
154.935,86.3146
139.845,73.98005
116.01,63.748833
90.68,59.015858
76.65,55.462265
58.645,54.12135
48.015,57.130676
39.01,54.17898
31.565,54.698063
33.18,60.633095
42.835,68.28733
53.835,76.342094
80.725,76.32617
127.595,74.430275
152.52,66.393425
142.545,62.887703
132.86,61.504814
123.49,61.59345
107.44,66.52045
103.35,74.09777
129.82,85.429565
172.145,103.187416
179.26,104.6349
149.605,88.77584
92.89,77.96216
47.69,73.31574
35.805,69.81663
24.985,67.52904
17.55,64.977455
12.0,64.15946
6.05,45.84478
1.7,43.599644
0.155,44.19243
-0.01,51.57925
4.21,66.376434
13.735,81.75868
30.515,93.44147
72.885,77.70162
124.325,70.33775
138.455,65.170815
143.99,60.884377
154.56,62.894936
156.185,70.201164
147.095,78.94073
151.84,91.05768
192.585,113.597275
211.585,115.63124
193.625,90.89963
165.245,76.135826
149.885,69.503586
154.35,63.630642
153.985,59.323647
156.33,57.044067
164.325,54.71085
152.39,137.45992
133.15,144.96552
120.715,142.39168
122.87,159.96666
148.2,212.69409
164.83,272.63184
165.365,306.84866
167.265,304.62405
161.315,298.1952
149.935,283.48605
143.355,286.34454
141.035,295.4278
142.095,288.92056
146.395,310.4501
155.77,334.30365
176.29,351.54855
188.53,357.71326
192.505,315.3119
175.47,260.5239
143.305,221.56136
127.175,186.78426
125.67,173.73563
130.96,167.0777
131.11,166.27637
127.255,130.2952
121.69,130.60326
121.79,133.33345
134.21,143.84436
157.485,187.76712
177.08,242.71678
189.05,269.13602
194.815,266.54324
186.995,253.16563
171.355,243.62431
160.65,241.42928
155.27,247.74059
154.86,254.42883
158.855,263.89044
173.36,290.7222
192.215,315.09656
192.1,303.46115
177.835,267.68506
158.78,226.48282
145.91,190.18268
136.89,164.65111
127.02,156.43474
124.885,153.2469
123.7,147.97528
117.225,98.53992
109.93,95.02478
114.33,93.97385
128.145,101.56932
140.405,118.9526
149.32,125.41762
161.465,133.3484
164.03,141.00696
154.79,138.77686
142.48,132.89984
132.1,135.20906
130.125,135.91728
133.2,137.42862
138.505,145.16472
147.115,157.6468
159.7,180.85603
162.885,177.80028
152.385,157.48628
139.46,136.12173
131.715,129.5309
125.25,118.7016
124.855,114.514465
127.905,110.69481
127.68,108.390045
124.465,133.42334
119.83,132.70558
121.5,134.13914
136.38,147.12956
157.52,184.3636
170.06,213.63707
177.395,237.95186
180.4,247.15018
176.79,244.38174
166.405,238.51173
153.08,233.0517
146.515,239.94208
147.56,242.5726
156.035,253.60995
173.48,273.865
188.97,299.0114
188.725,289.31415
177.355,260.37933
159.3,226.447
147.24,191.56168
137.045,173.67424
130.805,166.36339
133.18,160.30386
131.81,154.95665
130.63,126.40783
129.295,122.67751
130.015,125.62842
139.345,141.4064
156.345,181.3499
177.48,218.81929
193.25,240.13608
193.88,242.60924
184.525,239.9961
171.04,233.85577
160.98,226.194
157.33,231.99971
162.38,240.34462
171.44,244.04181
184.785,269.4102
196.485,290.9762
195.72,282.41647
186.95,253.80165
169.34,223.21965
155.67,198.94505
148.785,174.52754
141.84,165.1983
138.005,162.0455
136.025,158.64723
133.025,143.81337
129.5,132.78731
128.765,130.60286
129.14,137.0498
133.02,148.18085
142.72,158.7885
153.37,165.36275
158.075,167.39015
154.625,165.69385
145.24,164.38799
135.89,166.79216
131.525,164.70682
132.34,164.72108
138.74,172.40793
153.425,185.28635
177.195,218.34009
184.165,213.9542
165.505,193.38074
150.215,171.1769
143.285,161.61821
135.485,152.81657
140.0,148.43127
148.15,143.0258
145.595,141.75183
140.925,121.9441
132.17,115.34795
123.95,119.83567
125.765,121.75174
132.395,140.75047
134.555,146.27135
137.015,158.66617
145.055,165.29956
157.28,169.20995
162.775,158.76881
168.01,166.22441
178.925,162.32883
178.8,161.45366
172.67,167.62497
185.78,181.88579
214.95,211.35727
223.445,208.23862
205.995,188.91928
185.04,168.44836
168.545,159.84712
156.8,147.40701
146.555,137.10808
141.35,133.56274
141.155,128.9121
138.63,123.3036
136.38,124.03348
136.09,138.78743
146.49,157.53854
178.96,217.9965
209.57,288.18546
221.22,326.95566
225.39,347.4862
222.13,327.5398
213.08,311.00842
205.6,302.84412
199.455,307.53973
195.085,323.12958
196.595,333.13138
211.815,378.5343
240.385,392.2405
246.425,374.14948
226.125,324.7009
192.955,279.88852
165.855,227.98315
151.635,188.36314
141.655,174.00743
139.805,167.2859
137.57,161.56181
135.62,125.36854
134.315,125.71824
134.11,125.0158
142.84,142.64499
168.17,194.84224
199.305,253.8767
218.63,289.6616
219.49,296.7405
211.665,289.3446
200.53,285.62436
191.165,277.35922
187.985,282.6986
188.89,294.941
195.175,306.28186
208.64,327.45377
220.105,355.52197
216.45,331.8917
203.075,297.62595
179.015,263.405
158.76,227.32066
146.39,188.95744
136.37,173.25682
134.175,170.63416
131.865,161.96541
128.3,89.20527
125.595,85.96385
126.575,85.96473
131.76,95.10763
145.99,120.93467
165.41,137.14297
183.05,142.94394
189.21,155.80736
183.225,157.12888
174.715,149.316
167.27,158.21954
163.82,155.88855
163.955,158.62268
165.735,171.11078
173.235,204.191
182.63,211.08412
180.77,207.98648
169.88,186.95674
159.55,161.07062
152.775,152.596
144.965,130.26472
131.895,120.39998
123.48,118.09143
123.03,114.26803
121.285,105.15337
118.39,101.38218
117.97,103.035324
125.155,117.57837
139.235,157.32779
156.89,197.92204
169.67,210.47705
172.055,221.34227
166.645,216.21571
156.985,209.24623
149.26,212.29819
147.23,214.64932
150.255,219.66992
152.78,221.67696
161.675,246.19669
174.485,266.9715
174.685,253.44417
167.295,229.51152
155.155,205.06609
139.345,181.40999
128.26,154.05792
127.245,140.13536
130.315,137.27669
128.64,128.21452
124.63,129.43701
121.855,119.934746
122.35,121.45025
128.665,135.86044
146.185,169.26414
167.63,203.773
182.12,230.04323
185.52,245.05508
